id,label,node_type
unknown person A (HOUSE_OVERSIGHT_013489) (HOUSE_OVERSIGHT_013489),unknown person A (HOUSE_OVERSIGHT_013489) (HOUSE_OVERSIGHT_013489),Entity
unknown person A (HOUSE_OVERSIGHT_013542),unknown person A (HOUSE_OVERSIGHT_013542),Entity
unknown person A (HOUSE_OVERSIGHT_013543),unknown person A (HOUSE_OVERSIGHT_013543),Entity
unknown person A (HOUSE_OVERSIGHT_013547),unknown person A (HOUSE_OVERSIGHT_013547),Entity
unknown person A (HOUSE_OVERSIGHT_013555),unknown person A (HOUSE_OVERSIGHT_013555),Entity
unknown person A (HOUSE_OVERSIGHT_013618),unknown person A (HOUSE_OVERSIGHT_013618),Entity
unknown person A (HOUSE_OVERSIGHT_013623),unknown person A (HOUSE_OVERSIGHT_013623),Entity
unknown person A (HOUSE_OVERSIGHT_013624),unknown person A (HOUSE_OVERSIGHT_013624),Entity
unknown person A (HOUSE_OVERSIGHT_013962),unknown person A (HOUSE_OVERSIGHT_013962),Entity
unknown person A (HOUSE_OVERSIGHT_013963),unknown person A (HOUSE_OVERSIGHT_013963),Entity
unknown person A (HOUSE_OVERSIGHT_013964),unknown person A (HOUSE_OVERSIGHT_013964),Entity
unknown person A (HOUSE_OVERSIGHT_013972),unknown person A (HOUSE_OVERSIGHT_013972),Entity
unknown person A (HOUSE_OVERSIGHT_013976),unknown person A (HOUSE_OVERSIGHT_013976),Entity
unknown person A (HOUSE_OVERSIGHT_013977),unknown person A (HOUSE_OVERSIGHT_013977),Entity
unknown person A (HOUSE_OVERSIGHT_014000),unknown person A (HOUSE_OVERSIGHT_014000),Entity
unknown person A (HOUSE_OVERSIGHT_014002),unknown person A (HOUSE_OVERSIGHT_014002),Entity
unknown person A (HOUSE_OVERSIGHT_014010),unknown person A (HOUSE_OVERSIGHT_014010),Entity
unknown person A (HOUSE_OVERSIGHT_014012),unknown person A (HOUSE_OVERSIGHT_014012),Entity
unknown person A (HOUSE_OVERSIGHT_014013),unknown person A (HOUSE_OVERSIGHT_014013),Entity
unknown person A (HOUSE_OVERSIGHT_014014),unknown person A (HOUSE_OVERSIGHT_014014),Entity
unknown person A (HOUSE_OVERSIGHT_014016),unknown person A (HOUSE_OVERSIGHT_014016),Entity
unknown person A (HOUSE_OVERSIGHT_014017),unknown person A (HOUSE_OVERSIGHT_014017),Entity
unknown person A (HOUSE_OVERSIGHT_014028),unknown person A (HOUSE_OVERSIGHT_014028),Entity
unknown person A (HOUSE_OVERSIGHT_014037_part2) (HOUSE_OVERSIGHT_014037_part2),unknown person A (HOUSE_OVERSIGHT_014037_part2) (HOUSE_OVERSIGHT_014037_part2),Entity
unknown person A (HOUSE_OVERSIGHT_014118_part1) (HOUSE_OVERSIGHT_014118_part1),unknown person A (HOUSE_OVERSIGHT_014118_part1) (HOUSE_OVERSIGHT_014118_part1),Entity
unknown person A (HOUSE_OVERSIGHT_014118_part3) (HOUSE_OVERSIGHT_014118_part3),unknown person A (HOUSE_OVERSIGHT_014118_part3) (HOUSE_OVERSIGHT_014118_part3),Entity
unknown person A (HOUSE_OVERSIGHT_014214),unknown person A (HOUSE_OVERSIGHT_014214),Entity
unknown person A (HOUSE_OVERSIGHT_014228),unknown person A (HOUSE_OVERSIGHT_014228),Entity
unknown person A (HOUSE_OVERSIGHT_014238),unknown person A (HOUSE_OVERSIGHT_014238),Entity
unknown person A (HOUSE_OVERSIGHT_014361),unknown person A (HOUSE_OVERSIGHT_014361),Entity
unknown person A (HOUSE_OVERSIGHT_014460_part1) (HOUSE_OVERSIGHT_014460_part1),unknown person A (HOUSE_OVERSIGHT_014460_part1) (HOUSE_OVERSIGHT_014460_part1),Entity
unknown person A (HOUSE_OVERSIGHT_014504),unknown person A (HOUSE_OVERSIGHT_014504),Entity
unknown person A (HOUSE_OVERSIGHT_014510),unknown person A (HOUSE_OVERSIGHT_014510),Entity
unknown person A (HOUSE_OVERSIGHT_014660),unknown person A (HOUSE_OVERSIGHT_014660),Entity
unknown person A (HOUSE_OVERSIGHT_014664),unknown person A (HOUSE_OVERSIGHT_014664),Entity
unknown person A (HOUSE_OVERSIGHT_014700),unknown person A (HOUSE_OVERSIGHT_014700),Entity
unknown person A (HOUSE_OVERSIGHT_014714),unknown person A (HOUSE_OVERSIGHT_014714),Entity
unknown person A (HOUSE_OVERSIGHT_014842),unknown person A (HOUSE_OVERSIGHT_014842),Entity
unknown person A (HOUSE_OVERSIGHT_014843),unknown person A (HOUSE_OVERSIGHT_014843),Entity
unknown person A (HOUSE_OVERSIGHT_014855),unknown person A (HOUSE_OVERSIGHT_014855),Entity
unknown person A (HOUSE_OVERSIGHT_015002) (HOUSE_OVERSIGHT_015002),unknown person A (HOUSE_OVERSIGHT_015002) (HOUSE_OVERSIGHT_015002),Entity
unknown person A (HOUSE_OVERSIGHT_015008),unknown person A (HOUSE_OVERSIGHT_015008),Entity
unknown person A (HOUSE_OVERSIGHT_015009),unknown person A (HOUSE_OVERSIGHT_015009),Entity
unknown person A (HOUSE_OVERSIGHT_015015) (HOUSE_OVERSIGHT_015015),unknown person A (HOUSE_OVERSIGHT_015015) (HOUSE_OVERSIGHT_015015),Entity
unknown person A (HOUSE_OVERSIGHT_015020),unknown person A (HOUSE_OVERSIGHT_015020),Entity
unknown person A (HOUSE_OVERSIGHT_015022),unknown person A (HOUSE_OVERSIGHT_015022),Entity
unknown person A (HOUSE_OVERSIGHT_015026),unknown person A (HOUSE_OVERSIGHT_015026),Entity
unknown person A (HOUSE_OVERSIGHT_015032_part2) (HOUSE_OVERSIGHT_015032_part2),unknown person A (HOUSE_OVERSIGHT_015032_part2) (HOUSE_OVERSIGHT_015032_part2),Entity
unknown person A (HOUSE_OVERSIGHT_015141),unknown person A (HOUSE_OVERSIGHT_015141),Entity
unknown person A (HOUSE_OVERSIGHT_015142),unknown person A (HOUSE_OVERSIGHT_015142),Entity
unknown person A (HOUSE_OVERSIGHT_015143),unknown person A (HOUSE_OVERSIGHT_015143),Entity
unknown person A (HOUSE_OVERSIGHT_015145),unknown person A (HOUSE_OVERSIGHT_015145),Entity
unknown person A (HOUSE_OVERSIGHT_015146),unknown person A (HOUSE_OVERSIGHT_015146),Entity
unknown person A (HOUSE_OVERSIGHT_015154),unknown person A (HOUSE_OVERSIGHT_015154),Entity
unknown person A (HOUSE_OVERSIGHT_015156),unknown person A (HOUSE_OVERSIGHT_015156),Entity
unknown person A (HOUSE_OVERSIGHT_015168),unknown person A (HOUSE_OVERSIGHT_015168),Entity
unknown person A (HOUSE_OVERSIGHT_015180),unknown person A (HOUSE_OVERSIGHT_015180),Entity
unknown person A (HOUSE_OVERSIGHT_015181),unknown person A (HOUSE_OVERSIGHT_015181),Entity
unknown person A (HOUSE_OVERSIGHT_015182),unknown person A (HOUSE_OVERSIGHT_015182),Entity
unknown person A (HOUSE_OVERSIGHT_015184),unknown person A (HOUSE_OVERSIGHT_015184),Entity
unknown person A (HOUSE_OVERSIGHT_015186),unknown person A (HOUSE_OVERSIGHT_015186),Entity
unknown person A (HOUSE_OVERSIGHT_015191),unknown person A (HOUSE_OVERSIGHT_015191),Entity
unknown person A (HOUSE_OVERSIGHT_015192),unknown person A (HOUSE_OVERSIGHT_015192),Entity
unknown person A (HOUSE_OVERSIGHT_015194),unknown person A (HOUSE_OVERSIGHT_015194),Entity
unknown person A (HOUSE_OVERSIGHT_015195),unknown person A (HOUSE_OVERSIGHT_015195),Entity
